RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Christian McCaffreySF,RB,8,137,652,4.8,65,3,9,81.5,2,2,38
2,Zack MossIND,RB,7,125,589,4.7,56,6,5,84.1,0,0,30
3,Travis Etienne Jr.JAX,RB,8,151,583,3.9,35,4,7,72.9,0,0,31
4,D'Andre SwiftPHI,RB,8,117,571,4.9,43,4,3,71.4,0,0,29
5,Derrick HenryTEN,RB,7,120,526,4.4,63,3,3,75.1,0,0,24
6,Raheem MostertMIA,RB,8,97,520,5.4,49,5,10,65,1,1,28
7,Kenneth Walker IIISEA,RB,7,117,516,4.4,45,5,6,73.7,0,0,26
8,James CookBUF,RB,8,102,486,4.8,36,3,1,60.8,0,0,26
9,Bijan RobinsonATL,RB,8,92,466,5.1,38,4,1,58.3,1,1,24
10,De'Von AchaneMIA,RB,4,38,460,12.1,76,6,5,115,1,1,15
11,Isiah PachecoKC,RB,8,108,459,4.3,48,2,3,57.4,0,0,26
12,Kyren WilliamsLAR,RB,6,97,456,4.7,31,3,6,76,1,0,26
13,Joe MixonCIN,RB,7,112,453,4,22,2,2,64.7,0,0,26
14,Breece HallNYJ,RB,7,78,443,5.7,83,4,2,63.3,2,0,15
15,Gus EdwardsBAL,RB,8,105,426,4.1,20,2,5,53.3,0,0,26
16,Tony PollardDAL,RB,7,108,423,3.9,31,3,2,60.4,1,1,23
17,Saquon BarkleyNYG,RB,5,110,412,3.7,34,2,1,82.4,1,1,17
18,Alexander MattisonMIN,RB,8,106,390,3.7,19,0,0,48.8,1,1,14
19,David MontgomeryDET,RB,5,94,385,4.1,42,1,6,77,2,1,23
20,Brian Robinson Jr.WSH,RB,8,95,384,4,29,3,4,48,1,0,26
21,Jerome FordCLE,RB,7,87,381,4.4,69,3,2,54.4,1,1,11
22,Lamar JacksonBAL,QB,8,74,380,5.1,26,1,5,47.5,4,2,27
23,James ConnerARI,RB,5,68,364,5.4,35,5,2,72.8,0,0,16
24,Javonte WilliamsDEN,RB,7,90,357,4,21,1,0,51,0,0,18
25,Josh JacobsLV,RB,7,118,347,2.9,24,1,2,49.6,0,0,17
26,Tyler AllgeierATL,RB,8,104,332,3.2,22,1,2,41.5,0,0,21
27,Dameon PierceHOU,RB,7,109,327,3,16,0,1,46.7,0,0,12
28,Alvin KamaraNO,RB,5,86,320,3.7,17,0,2,64,0,0,19
29,Najee HarrisPIT,RB,7,84,313,3.7,24,3,1,44.7,1,0,16
30,Rhamondre StevensonNE,RB,8,97,307,3.2,15,0,2,38.4,0,0,16
31,Joshua KelleyLAC,RB,7,71,305,4.3,49,2,2,43.6,0,0,17
31,Rachaad WhiteTB,RB,7,92,305,3.3,15,0,1,43.6,0,0,12
33,Jalen HurtsPHI,QB,8,78,280,3.6,24,1,6,35,2,2,35
34,Khalil HerbertCHI,RB,5,51,272,5.3,34,3,0,54.4,0,0,12
35,Chuba HubbardCAR,RB,7,69,270,3.9,21,1,1,38.6,0,0,20
36,Jaleel McLaughlinDEN,RB,8,38,268,7.1,38,4,1,33.5,0,0,9
37,AJ DillonGB,RB,7,85,266,3.1,15,0,1,38,0,0,13
38,Ezekiel ElliottNE,RB,8,67,260,3.9,17,0,2,32.5,0,0,19
39,Joshua DobbsARI,QB,8,47,258,5.5,44,5,3,32.3,3,1,19
40,Jahmyr GibbsDET,RB,5,50,247,4.9,21,2,1,49.4,0,0,11
41,Justin FieldsCHI,QB,6,47,237,5,20,1,1,39.5,1,0,16
